"id","url_hash","url","name","logo","created_at","updated_at",""
"1","78383652","https://www.autoevolution.com/ac/","AC","https://s1.cdn.autoevolution.com/images/producers/ac-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"2","6a1df75c","https://www.autoevolution.com/acura/","ACURA","https://s1.cdn.autoevolution.com/images/producers/acura-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"3","0608c25a","https://www.autoevolution.com/alfa-romeo/","ALFA ROMEO","https://s1.cdn.autoevolution.com/images/producers/alfa-romeo-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"4","a829c754","https://www.autoevolution.com/alpine/","ALPINE","https://s1.cdn.autoevolution.com/images/producers/alpine-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"5","85a1d7e1","https://www.autoevolution.com/ariel/","ARIEL","https://s1.cdn.autoevolution.com/images/producers/ariel-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"6","c4aba20b","https://www.autoevolution.com/aro/","ARO","https://s1.cdn.autoevolution.com/images/producers/aro-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"7","d519e48e","https://www.autoevolution.com/artega/","ARTEGA","https://s1.cdn.autoevolution.com/images/producers/artega-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"8","bf4a9110","https://www.autoevolution.com/aston-martin/","ASTON MARTIN","https://s1.cdn.autoevolution.com/images/producers/aston-martin-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"9","47f8c52c","https://www.autoevolution.com/audi/","AUDI","https://s1.cdn.autoevolution.com/images/producers/audi-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"10","1de3e1c4","https://www.autoevolution.com/aurus/","AURUS","https://s1.cdn.autoevolution.com/images/producers/aurus-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"11","a74b45fb","https://www.autoevolution.com/bentley/","BENTLEY","https://s1.cdn.autoevolution.com/images/producers/bentley-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"12","362a88e7","https://www.autoevolution.com/bmw/","BMW","https://s1.cdn.autoevolution.com/images/producers/bmw-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"13","2e438fcb","https://www.autoevolution.com/bristol/","BRISTOL","https://s1.cdn.autoevolution.com/images/producers/bristol-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"14","f26785db","https://www.autoevolution.com/bufori/","BUFORI","https://s1.cdn.autoevolution.com/images/producers/bufori-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"15","9c7a8937","https://www.autoevolution.com/bugatti/","BUGATTI","https://s1.cdn.autoevolution.com/images/producers/bugatti-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"16","71085004","https://www.autoevolution.com/buick/","BUICK","https://s1.cdn.autoevolution.com/images/producers/buick-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"17","6e8c9923","https://www.autoevolution.com/cadillac/","CADILLAC","https://s1.cdn.autoevolution.com/images/producers/cadillac-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"18","e0d0b513","https://www.autoevolution.com/caterham/","CATERHAM","https://s1.cdn.autoevolution.com/images/producers/caterham-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"19","5821495d","https://www.autoevolution.com/chevrolet/","CHEVROLET","https://s1.cdn.autoevolution.com/images/producers/chevrolet-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"20","7d1747a7","https://www.autoevolution.com/chrysler/","CHRYSLER","https://s1.cdn.autoevolution.com/images/producers/chrysler-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"21","e1f11746","https://www.autoevolution.com/citroen/","CITROEN","https://s1.cdn.autoevolution.com/images/producers/citroen-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"22","bd9303fb","https://www.autoevolution.com/cupra/","CUPRA","https://s1.cdn.autoevolution.com/images/producers/cupra-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"23","56fab89f","https://www.autoevolution.com/dacia/","DACIA","https://s1.cdn.autoevolution.com/images/producers/dacia-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"24","bfe59c83","https://www.autoevolution.com/daewoo/","DAEWOO","https://s1.cdn.autoevolution.com/images/producers/daewoo-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"25","24a09027","https://www.autoevolution.com/daihatsu/","DAIHATSU","https://s1.cdn.autoevolution.com/images/producers/daihatsu-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"26","a1f451f7","https://www.autoevolution.com/datsun/","DATSUN","https://s1.cdn.autoevolution.com/images/producers/datsun-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"27","50f41272","https://www.autoevolution.com/dmc/","DeLorean","https://s1.cdn.autoevolution.com/images/producers/delorean-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"28","21e10f3f","https://www.autoevolution.com/dodge/","DODGE","https://s1.cdn.autoevolution.com/images/producers/dodge-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"29","c1067a9e","https://www.autoevolution.com/donkervoort/","DONKERVOORT","https://s1.cdn.autoevolution.com/images/producers/donkervoort-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"30","8235d36c","https://www.autoevolution.com/dr-motor/","DR MOTOR","https://s1.cdn.autoevolution.com/images/producers/dr-motor-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"31","a035ea96","https://www.autoevolution.com/ds-automobiles/","DS AUTOMOBILES","https://s1.cdn.autoevolution.com/images/producers/ds-automobiles-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"32","1984fbbb","https://www.autoevolution.com/eagle/","EAGLE","https://s1.cdn.autoevolution.com/images/producers/eagle-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"33","f8a7ee71","https://www.autoevolution.com/ferrari/","FERRARI","https://s1.cdn.autoevolution.com/images/producers/ferrari-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"34","500cb3ae","https://www.autoevolution.com/fiat/","FIAT","https://s1.cdn.autoevolution.com/images/producers/fiat-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"35","66e01587","https://www.autoevolution.com/fisker/","FISKER","https://s1.cdn.autoevolution.com/images/producers/fisker-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"36","66ceee61","https://www.autoevolution.com/ford/","FORD","https://s1.cdn.autoevolution.com/images/producers/ford-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"37","28f9f816","https://www.autoevolution.com/fso/","FSO","https://s1.cdn.autoevolution.com/images/producers/fso-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"38","5bcc78ce","https://www.autoevolution.com/geely/","GEELY","https://s1.cdn.autoevolution.com/images/producers/geely-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"39","c8d01c31","https://www.autoevolution.com/genesis/","GENESIS","https://s1.cdn.autoevolution.com/images/producers/genesis-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
"40","3e466512","https://www.autoevolution.com/gmc/","GMC","https://s1.cdn.autoevolution.com/images/producers/gmc-sm.jpg","","2024-10-23T08:32:05.000000Z","2024-10-23T08:32:05.000000Z"
