brand,model,avg_price
audi,100,6323.2
audi,a3,17430.669144981413
audi,a4,19654.073033707864
audi,a5,23254.372727272726
audi,a6,22082.455445544554
audi,a7,32247.052631578947
audi,a8,15845.17924528302
audi,q3,23611.486206896552
audi,q5,30643.86842105263
audi,q7,42010.86363636364
audi,q8,57970.25
audi,r8,84196.25
audi,rs 3,41992.5
audi,rs 4,45186.71428571428
audi,rs 5,44197.5
audi,rs 6,60624.28571428572
audi,s3,21950.0
audi,s8,38120.5
audi,sq5,32939.0
audi,tt,24003.975
bmw,1 series,15977.55633802817
bmw,2 series,19867.826530612245
bmw,3 series,19637.59002770083
bmw,4 series,22580.463768115944
bmw,5 series,23758.70895522388
bmw,6 series,26173.29411764706
bmw,7 series,40904.78571428572
bmw,8 series,59145.0
bmw,i3,20247.0
bmw,i8,57553.25
bmw,m,36595.0
bmw,m2,33475.77777777778
bmw,m3,31386.0
bmw,m4,40020.31578947369
bmw,m5,49446.5
bmw,x1,20154.63779527559
bmw,x2,28089.35
bmw,x3,27214.971014492752
bmw,x4,29458.842105263157
bmw,x5,41351.46268656717
bmw,x6,42970.61538461538
bmw,x7,67848.28571428571
bmw,z3,3980.0
bmw,z4,27890.863636363636
ford,b-ma,7785.0
ford,bronco,12300.57627118644
ford,c-max hybrid,11931.102272727272
ford,ecosport,12293.388235294118
ford,edge,22822.030303030304
ford,explorer,11495.0
ford,fiesta,10207.472551130248
ford,flex,18470.290322580644
ford,focus,13458.59761235955
ford,freestyle,22659.3
ford,fusion,3245.0
ford,grand tourneo connect,13086.6
ford,ka,7881.928571428572
ford,kuga,15931.233846153846
ford,mustang,34714.75
ford,ranger supercab,11213.421052631578
ford,tourneo custom,20264.0
hyundai,accent,1995.0
hyundai,genesis,10124.5
hyundai,i30,9425.22633744856
hyundai,ioniq hybrid,18654.066666666666
hyundai,ix20,9035.35294117647
hyundai,kona,15391.725490196079
hyundai,nexo,11070.75
hyundai,santa fe,27578.129032258064
hyundai,tiburon,17432.5
hyundai,tucson,16013.516129032258
hyundai,xg350,8414.727272727272
mercedes,a-class,19236.153392330383
mercedes,b-class,18976.710843373494
mercedes,c-class,23814.0
mercedes,cl-class,21773.630136986303
mercedes,cla,11931.25
mercedes,cla-class,24866.125
mercedes,cls-class,28506.678571428572
mercedes,e-class,24752.6
mercedes,g-class,29616.513513513513
mercedes,gl-class,34747.53539823009
mercedes,gla,18643.0
mercedes,gla-class,20056.223214285714
mercedes,m-class,15952.615384615385
mercedes,s-class,52772.055555555555
mercedes,sl-class,32459.51724137931
mercedes,slk,9402.42857142857
opel,agila,4136.0
opel,antara,5995.0
opel,astra,10343.345945945946
opel,astra sedan,9995.0
opel,combo life,15973.28125
opel,corsa-e,8207.773987206823
opel,crossland,11663.0
opel,crossland x,12867.190476190477
opel,grandland,8117.6949152542375
opel,grandland x,16927.17105263158
opel,gt,9302.35294117647
opel,insignia,11238.566176470587
opel,kadett 3 doors,13018.4
opel,meriva,6783.025862068966
opel,mokka,9123.567307692309
opel,mokka x,12695.583617747441
opel,zafira,10112.180722891566
opel,zafira tourer,9971.666666666666
skoda,citigo 3 doors,12696.74647887324
skoda,citigo-e iv,7030.583333333333
skoda,fabia,9893.40350877193
skoda,kamiq,19655.190476190477
skoda,karoq,20956.695652173912
skoda,kodiaq,24985.137931034482
skoda,kushaq,19995.0
skoda,octavia,14434.103773584906
skoda,rapid,8058.176470588235
skoda,roomster,5471.0
skoda,slavia,17219.433333333334
skoda,superb,19239.33606557377
skoda,yeti,11992.809523809523
toyota,86,19304.416666666668
toyota,aygo,7900.640677966102
toyota,c-hr,20980.32911392405
toyota,camry,17858.333333333332
toyota,corolla,18964.727272727272
toyota,fj cruiser,6290.0
toyota,iq,2699.0
toyota,land cruiser,32625.9
toyota,matrix,16397.666666666668
toyota,previa,6854.0
toyota,prius,19654.04651162791
toyota,rav4,19960.735849056604
toyota,supra,51326.666666666664
toyota,verso,15073.75
toyota,yaris,11099.757647058823
volkswagen,amarok,26737.9375
volkswagen,arteon,26184.272727272728
volkswagen,beetle,8352.857142857143
volkswagen,caddy maxi life,19393.29411764706
volkswagen,caravelle,38922.555555555555
volkswagen,cc,10035.411764705883
volkswagen,eos,8950.0
volkswagen,golf,16522.63157894737
volkswagen,golf r,15791.029411764706
volkswagen,jetta,8310.833333333334
volkswagen,passat,16734.68
volkswagen,polo,11305.013422818793
volkswagen,sharan,22087.466666666667
volkswagen,sirocco,13558.18918918919
volkswagen,t-cross,19873.4
volkswagen,t-roc,22946.123809523808
volkswagen,tiguan,21783.758196721312
volkswagen,tiguan allspace,29476.076923076922
volkswagen,touareg,31833.255319148935
volkswagen,touran,18302.840909090908
volkswagen,up,8026.1461538461535
